Mayert,Allie,,1926-01-04,Female,1971-05-06,9,PT
Borer,Augustus,,1996-09-29,Female,2016-06-19,7,FT
Auer,Gina,LightSlateGray,1970-04-28,Male,2007-07-18,2,FT
Kihn,Amir,RoyalBlue,1936-09-19,Female,1975-05-18,4,FT
Bergstrom,Maia,DarkCyan,2000-03-24,Female,2020-05-21,4,FT
Legros,Yolanda,,1951-01-10,Female,1978-01-21,9,PT
Spencer,Sophia,,1935-10-19,Female,1959-02-06,9,FT
Pollich,Sylvester,,1927-05-24,Female,1949-10-02,6,FT
Schoen,Dion,,1968-03-03,Male,2014-07-28,8,FT
Steuber,Ava,,1990-10-16,Female,2015-10-28,6,FT
Kshlerin,Abigayle,,1941-06-05,Male,2002-06-06,3,PT
Toy,Dasia,,1975-11-17,Male,2015-10-15,2,FT
Hettinger,Kenneth,,1930-09-19,Male,2013-11-30,4,FT
Stark,Delfina,,1925-08-19,Female,1997-04-27,5,FT
Cremin,Luz,,1985-03-14,Female,2005-05-06,8,PT
Cormier,Theodore,,1937-09-14,Male,2017-12-24,9,FT
Kilback,Taurean,Snow,1966-12-08,Male,1990-11-17,7,FT
Considine,Jovanny,Red,1980-10-04,Male,2010-04-08,8,PT
Rath,Calista,,1981-03-20,Male,2001-07-05,8,FT
Hilpert,Garett,,1960-12-10,Female,1999-01-02,7,PT
Gaylord,Autumn,MediumSpringGreen,1962-04-03,Male,1997-11-12,3,PT
Ziemann,Hudson,,1967-09-22,Female,1991-07-04,7,FT
Wolff,Margarette,,1985-07-07,Male,2013-05-24,6,FT
Ebert,Mckayla,,1973-07-19,Female,2020-12-11,1,FT
Kuhn,Corrine,,1999-12-30,Male,2019-08-19,1,PT
Mills,Jeremy,DeepSkyBlue,1973-04-25,Female,2020-01-11,1,FT
Wisoky,Celia,,1986-06-18,Male,2017-08-14,9,FT
Harris,Demarcus,,1972-03-11,Male,2020-11-29,9,FT
Collier,Terrell,,1940-02-15,Female,1991-01-25,1,FT
Watsica,Keely,,1984-09-26,Male,2004-02-28,8,PT
Sporer,Willa,PapayaWhip,1978-03-22,Female,2009-07-06,5,FT
Weimann,Emilio,,1962-08-06,Male,1995-05-07,5,FT
Jaskolski,Carmine,,1962-05-16,Female,1998-01-07,9,FT
Lueilwitz,Evans,DarkCyan,1938-06-11,Female,1978-02-08,1,FT
Mertz,Bette,LemonChiffon,1961-03-25,Male,2013-07-17,4,FT
Frami,Lindsey,Indigo,1942-01-21,Female,1976-08-29,2,FT
Bednar,Adrain,,1996-03-25,Female,2016-05-06,2,FT
Schinner,Kieran,,1979-10-23,Female,2003-03-21,5,FT
Jenkins,Rashawn,,1986-04-04,Male,2020-01-05,1,FT
Kulas,Rozella,,1935-07-07,Female,1964-08-28,6,PT
Schuppe,Danyka,,1926-07-25,Male,2005-11-29,9,FT
McClure,Nichole,BlueViolet,1996-02-09,Female,2015-08-19,6,FT
Wehner,Misael,,1926-07-17,Female,1988-01-22,4,FT
Klein,Jackie,WhiteSmoke,1987-11-14,Female,2013-04-02,2,FT
Okuneva,Twila,,1984-09-15,Female,2011-09-13,1,PT
Windler,Desiree,MediumSpringGreen,1952-06-29,Female,1988-05-25,4,FT
Beatty,Justyn,,1984-01-01,Female,2019-01-01,6,PT
Tillman,Laisha,MediumSeaGreen,1953-12-07,Female,1980-07-24,4,FT
Satterfield,Deborah,White,1967-06-05,Female,1995-03-10,2,FT
O'Keefe,Yasmin,,1967-05-13,Male,1999-09-16,6,PT
O'Kon,Deontae,Lime,1943-08-07,Female,2005-09-05,9,PT
Aufderhar,Andreanne,,1927-04-04,Male,1979-06-24,6,PT
Sanford,Russell,,1927-12-22,Female,2012-08-01,5,FT
Emard,Caterina,,1983-10-27,Female,2010-01-10,5,FT
Schaefer,Jarrett,,1946-01-06,Female,1985-03-15,8,PT
Daugherty,Jackson,,1924-04-03,Female,1957-05-16,7,PT
Towne,Madelyn,,1986-05-04,Female,2008-10-30,9,PT
Streich,Triston,,1973-11-07,Male,2020-08-29,9,FT
Zulauf,Desiree,Plum,1939-07-27,Female,1981-06-10,7,FT
Frami,Bobbie,,1982-12-20,Female,2003-09-18,8,FT
Rath,Ena,,1959-01-23,Female,1990-11-17,8,PT
Goldner,Colten,,1952-01-11,Male,1973-09-12,9,PT
Welch,Crystel,,1979-04-05,Female,2013-10-22,3,PT
Haley,Patricia,,1973-02-18,Female,2020-10-15,7,PT
Bins,Dulce,,1939-06-29,Female,2007-03-09,1,PT
Anderson,Norbert,,1995-08-23,Female,2018-05-20,9,FT
Lynch,Wade,,1961-04-19,Female,1980-10-05,2,PT
Wyman,Leonard,,1959-08-29,Female,1993-08-10,1,FT
Hane,Luis,,1943-03-14,Male,1966-05-25,7,FT
Veum,Jonatan,,1923-09-27,Female,1974-08-30,4,PT
Nicolas,Hope,Lime,1972-07-12,Male,2004-09-06,1,PT
Keeling,Joesph,,1975-05-15,Male,2007-07-08,5,PT
Hintz,Margot,,1987-03-26,Male,2019-09-09,7,PT
Zieme,Jesse,,1934-05-16,Male,1980-12-25,6,FT
Reynolds,Kaela,,1957-10-13,Female,1990-09-07,6,PT
Hauck,Zack,,1989-09-02,Female,2010-12-05,2,FT
Walsh,Veronica,,1948-04-14,Male,1989-02-05,5,FT
Gibson,Breanna,Sienna,1960-01-11,Male,2004-02-03,9,PT
Bednar,Walter,,1961-05-20,Female,2013-09-03,1,PT
Buckridge,Mossie,,1949-10-11,Male,1984-03-21,1,FT
Becker,Marjory,,1932-09-13,Female,2019-04-25,2,PT
Swaniawski,Jonathan,,1990-10-17,Female,2019-10-26,7,PT
Larson,Gideon,,1941-04-06,Female,1962-08-29,6,FT
Stamm,Amely,,1926-10-02,Male,1949-05-29,6,FT
Murray,Evangeline,Olive,1971-06-05,Female,2000-05-24,5,PT
Okuneva,Adalberto,Turquoise,1996-06-08,Male,2018-12-19,3,FT
Hagenes,Lila,,1973-07-12,Male,2008-04-03,4,FT
McKenzie,Molly,,1989-05-11,Male,2015-03-08,8,FT
Gerhold,Maye,,1953-03-14,Male,1985-02-13,3,FT
Mante,Kellie,,1959-02-16,Male,2011-12-10,2,PT
Graham,Jaren,,1933-10-31,Male,1986-10-31,9,PT
Klein,Larissa,,1965-11-27,Male,2008-06-07,9,FT
Shields,Vinnie,,1974-12-07,Male,2007-11-28,5,PT
Feil,Elody,,1946-03-29,Female,1980-05-22,8,PT
Jacobs,Davonte,SandyBrown,1944-08-21,Male,2002-06-29,2,FT
Kautzer,Nikolas,,1947-03-22,Female,1987-07-05,4,PT
Feil,Eloy,,1945-06-23,Female,1990-08-18,4,FT
Gleason,Rylee,,1922-09-09,Male,2002-10-27,3,PT
